artist_name,country,notes
'68,United States,backfilled
(Hed) P.E.,United States,backfilled
...And You Will Know Us by the Trail of Dead,United States,backfilled
1349,Norway,backfilled
13th Floor Elevators,United States,backfilled
220 Volt,Sweden,backfilled
35007,Netherlands,backfilled
36 Crazyfists,United States,backfilled
3weekoldroses,United States,backfilled
40 Watt Sun,United Kingdom,backfilled
7раса,Russia,backfilled
:Of The Wand And The Moon:,Denmark,backfilled
A.A. Williams,United Kingdom,backfilled
Aara,Switzerland,backfilled
Abigor,Austria,backfilled
Aborym,Italy,backfilled
Absu,United States,backfilled
Acid Bath,United States,backfilled
Acid King,United States,backfilled
Acid Mammoth,Greece,backfilled
Adam F,United Kingdom,backfilled
Aerial Ruin,United States,backfilled
Aerosmith,United States,backfilled
AFI,United States,backfilled
Afsky,Denmark,backfilled
Agalloch,United States,backfilled
Agents Of Oblivion,United States,backfilled
Aghora,United States,backfilled
Ahab,Germany,backfilled
Ahmet Sönmezler,Turkey,backfilled
Airbag,Spain,backfilled
Alan Tew,United Kingdom,backfilled
Albert Wenmo,United States,backfilled
Alcest,France,backfilled
Alex Henry Foster,Canada,backfilled
Alice In Chains,United States,backfilled
Alkonost,Russia,backfilled
Alkymist,Denmark,backfilled
All Them Witches,United States,backfilled
Alphataurus,Italy,backfilled
Altar Of Oblivion,Denmark,backfilled
Altareth,Sweden,backfilled
Alyans,Russia,backfilled
Amebix,United Kingdom,backfilled
Amenra,Belgium,backfilled
America,United States,backfilled
Amesoeurs,France,backfilled
Amir Yaghmai,,needs manual review
Amorphis,Finland,backfilled
Amplifier,United Kingdom,backfilled
Andrew McGibbon,Ireland,backfilled
Andrew Stockdale,Australia,backfilled
Andrew Stockdale of Wolfmother,,needs manual review
Andy Stott,United Kingdom,backfilled
Anekdoten,Sweden,backfilled
Angel,United States,backfilled
Angel City Chorale,United States,backfilled
Angst Skvadron,Norway,backfilled
Aniello Desiderio,Italy,backfilled
Anna von Hausswolff,Sweden,backfilled
Annihilator,Canada,backfilled
Anthony Kapfer,Germany,backfilled
Antimatter,United Kingdom,backfilled
Aphrodite's Child,Greece,backfilled
Apostle Of Solitude,United States,backfilled
Aquilus,Australia,backfilled
Arc De Soleil,Sweden,backfilled
Arcanist,France,backfilled
Arcturus,Norway,backfilled
ARKA'N ASRAFOKOR,Togo,backfilled
Armagedda,Sweden,backfilled
Armagh,Poland,backfilled
Armory,Sweden,backfilled
Art,United States,backfilled
Arthur Brown,United Kingdom,backfilled
Arve Henriksen,Norway,backfilled
Arvo Pärt,Estonia,backfilled
Arð,United Kingdom,backfilled
Asenssia,Russia,backfilled
Ashbringer,United States,backfilled
Ashley Barrett,,needs manual review
Ashley Mendel,,needs manual review
Assemble Head In Sunburst Sound,United States,backfilled
