track_id,track_name,artist_names,album_name,spotify_year,year,spotify_genres,primary_genre,genres,release_date,duration_ms,explicit,popularity,spotify_url,album_id,artist_ids,track_number,disc_number,sources,playlist_names,first_added_at,latest_added_at,rating,status,tags,notes
710xvqBINcJIqME6cFmSkv,Without Any Words (Only Crying and Laughter),'68,Two Parts Viper,2017,2017,,garage rock,garage rock; post-hardcore; noise rock,2017-06-02,198073,False,,https://open.spotify.com/track/710xvqBINcJIqME6cFmSkv,0xu0FA4siMz1DSie54xqJ2,51EEn3UICoilrrWVZFz30C,3,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
1f7fGOSkNOBhIgn4sEyjG8,Get Away,(Hed) P.E.,Blackout,2003,2003,,rapcore,rapcore; nu metal,2003,196640,False,,https://open.spotify.com/track/1f7fGOSkNOBhIgn4sEyjG8,2TGbFGyBXI6CKotOMMDGAp,0xIChbcTsuYLueN1oEsX9v,5,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
4z8Y5hfyXzPJinY9KcT2Qn,The Best,...And You Will Know Us by the Trail of Dead,Worlds Apart,2005,2005,,alternative rock,alternative rock; art rock; indie rock; post-hardcore; post-rock,2005-01-25,287960,False,,https://open.spotify.com/track/4z8Y5hfyXzPJinY9KcT2Qn,0nT470JKGNwsCAH1WNSQE0,6wBUn8gMP85n8dPu6LoUcF,11,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
4gCvH3iybLUpNHd3pJMs32,Nekronatalenheten,1349,Beyond The Apocalypse,2004,2004,,black metal,black metal; norwegian black metal; true norwegian black metal,2004-04-19,270466,False,,https://open.spotify.com/track/4gCvH3iybLUpNHd3pJMs32,0381g2DPGU1CML01DGGpr9,150xbiJGnTy1tSBZ9EFKnT,4,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
4GVRHAwABAV0v63YX9Go0p,Slip Inside This House - Stereo LP Version,13th Floor Elevators,Easter Everywhere,2010,2010,,psychedelic rock,psychedelic rock; garage rock; acid rock; garage psych,2010,482278,False,,https://open.spotify.com/track/4GVRHAwABAV0v63YX9Go0p,5RQNjPQbqY82MBTwaQp3ik,7xYxgSJaIf7yOFLmknYX38,1,2,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
1lZquyBVOQb3qvVMpvoXiT,Love Is All You Need,220 Volt,Eye to Eye,1988,1988,,heavy metal,heavy metal,1988-01-01,249133,False,,https://open.spotify.com/track/1lZquyBVOQb3qvVMpvoXiT,4GRoVEnV9DWXRpQFG22PlP,7dkVoO1B5mpLNU2WlOS32Y,5,1,liked; playlist,80's,2024-07-24T12:10:29Z,2024-07-24T17:57:32Z,,,,
74X8mFojBvEn6BvVLf3E0h,Firefall,220 Volt,Heavy Christmas - Revisited,2009,2009,,heavy metal,heavy metal,2009-12-04,253600,False,,https://open.spotify.com/track/74X8mFojBvEn6BvVLf3E0h,0yCaSXY72CAcTr3hY7YCf5,7dkVoO1B5mpLNU2WlOS32Y,3,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
3lSASVPKJAgBaiD0sWBWQK,Mistreated Eyes,220 Volt,Power Games,1984,1984,,heavy metal,heavy metal,1984-01-06,299640,False,,https://open.spotify.com/track/3lSASVPKJAgBaiD0sWBWQK,3dLWYgNiHPEVcVETkM2xI5,7dkVoO1B5mpLNU2WlOS32Y,6,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
3KmM9GEunX8IGyup6rne2z,Evaporate,35007,Liquid,2002,2002,,stoner rock,stoner rock; space rock; psychedelic rock; progressive rock; jam band,2002-05-27,353240,False,,https://open.spotify.com/track/3KmM9GEunX8IGyup6rne2z,2fVeY5ePxT4SQDvL18Sfye,09kNJ3LqHcfQZO5qixfmft,3,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
2kdR6aOGKe21HX0wH4VrvQ,Slit Wrist Theory,36 Crazyfists,Bitterness the Star,2002,2002,,metalcore,metalcore; nu metal; screamo; alternative metal; post-hardcore,2002-03-25,240400,True,,https://open.spotify.com/track/2kdR6aOGKe21HX0wH4VrvQ,4hzwLmrJFYcWXoWd7FzoUr,4ijGLY4dzlurDh7jqH3tW7,5,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
5M76XcGlfeWy0LLEfAm6le,If You Don't Feel the Same,3weekoldroses,More Weight,2019,2019,,alternative rock,alternative rock; indie rock,2019-06-13,96773,False,,https://open.spotify.com/track/5M76XcGlfeWy0LLEfAm6le,3cPt0tHcVRhFjILuiJ8kjL,5OjEhG2YrxSqJAAUQiLo81,3,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
7bUdhJputL6DNAit75PYMk,Stages,40 Watt Sun,Wider than the Sky,2016,2016,,doom metal,doom metal; alternative rock; slowcore; post-rock; singer-songwriter,2016-10-14,973120,False,,https://open.spotify.com/track/7bUdhJputL6DNAit75PYMk,7ejPvGjIXZvNROVwsyNRqa,19pyT3VlqEXiozOlxsk1vt,1,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
7tkeQfkHqYeVLVITZwAT8h,Craven Road,40 Watt Sun,Wider than the Sky,2016,2016,,doom metal,doom metal; alternative rock; slowcore; post-rock; singer-songwriter,2016-10-14,630586,False,,https://open.spotify.com/track/7tkeQfkHqYeVLVITZwAT8h,7ejPvGjIXZvNROVwsyNRqa,19pyT3VlqEXiozOlxsk1vt,5,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
53TsltkFRJtAd4NLXz9pgo,Рост,7раса,1й круг,2003,2003,,alternative rock,alternative rock; grunge; nu metal; post-grunge; alternative metal,2003-09-20,191706,False,,https://open.spotify.com/track/53TsltkFRJtAd4NLXz9pgo,3mIwpOH46Ce6vMYvMc9y4O,6A49eM0RYSseegBxH2dvoa,5,1,liked,,2024-09-08T07:05:31Z,2024-09-08T07:05:31Z,,,,
2UDuJxaXVNmvCYSl4h63R5,Безнадёжен,7раса,1й круг,2003,2003,,alternative rock,alternative rock; grunge; nu metal; post-grunge; alternative metal,2003-09-20,327120,False,,https://open.spotify.com/track/2UDuJxaXVNmvCYSl4h63R5,3mIwpOH46Ce6vMYvMc9y4O,6A49eM0RYSseegBxH2dvoa,13,1,liked,,2024-09-08T07:07:53Z,2024-09-08T07:07:53Z,,,,
0jYQ2uSEPYIQZBPZqqhZp3,Megin Runar,:Of The Wand And The Moon:,Lucifer,2003,2003,,neofolk,neofolk; dark folk,2003-03-01,273666,False,,https://open.spotify.com/track/0jYQ2uSEPYIQZBPZqqhZp3,5TAOVhm4nIFbuWH2OEM2aA,6bdOuFTmkGliFvCkdpH49Z,3,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
4s845qxWKKneQxqWmXe95q,Melt,A.A. Williams,Forever Blue,2020,2020,,post-rock,post-rock; alternative rock; dark folk,2020-07-03,376573,False,,https://open.spotify.com/track/4s845qxWKKneQxqWmXe95q,5BWwMhphXMexBKlxKTh7xO,1D0MStnRzJeelcnDjeBo8O,2,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
4NPNa9TXHeEJjIcG1bOjje,Die das wilde Wetter fängt,Aara,Eiger,2024,2024,,atmospheric black metal,atmospheric black metal; black metal,2024-12-06,565067,False,,https://open.spotify.com/track/4NPNa9TXHeEJjIcG1bOjje,7JR5ImZkmGHe5wHPLPFDDy,3UpDjZ41s0rOQsDKSECKmt,1,1,liked,,2025-02-10T06:55:27Z,2025-02-10T06:55:27Z,,,,
1wTkT3b4kn7qENfiAtoNVr,Phthonos I,Aara,Phthonos,2022,2022,,atmospheric black metal,atmospheric black metal; black metal,2022-10-07,258010,False,,https://open.spotify.com/track/1wTkT3b4kn7qENfiAtoNVr,7nvrUU7nAapWL3rlfl9gOL,3UpDjZ41s0rOQsDKSECKmt,1,1,liked,,2024-07-18T08:13:01Z,2024-07-18T08:13:01Z,,,,
0TLngtfOd4rCImhhNc8Pqm,Kingdom of Darkness,Abigor,Verwustung/Invoke the Dark Age & Opus IV,2004,2004,,black metal,black metal,2004,495226,False,,https://open.spotify.com/track/0TLngtfOd4rCImhhNc8Pqm,0EOz0br31I8SsO0pd588EV,3YQNyPeDonpYjB9N92VclR,2,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
2VFFPzRNwWdtJbk69bnOCn,Eye to Eye at Armageddon,Abigor,Verwustung/Invoke the Dark Age & Opus IV,2004,2004,,black metal,black metal,2004,326133,False,,https://open.spotify.com/track/2VFFPzRNwWdtJbk69bnOCn,0EOz0br31I8SsO0pd588EV,3YQNyPeDonpYjB9N92VclR,4,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
7HRGfBjtAGocI72xqmbi4A,Weeping Midwintertears,Abigor,Verwustung/Invoke the Dark Age & Opus IV,2004,2004,,black metal,black metal,2004,287666,False,,https://open.spotify.com/track/7HRGfBjtAGocI72xqmbi4A,0EOz0br31I8SsO0pd588EV,3YQNyPeDonpYjB9N92VclR,7,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
2d5iFaZ6uxuYyx0L0ejAFd,Outro - Perseverance Alt.Version,Aborym,Remixes And,2021,2021,,progressive metal,progressive metal; industrial black metal,2021-12-06,205482,False,,https://open.spotify.com/track/2d5iFaZ6uxuYyx0L0ejAFd,6PuQ8wXlRLagIZRJSYIyBO,2PCSfHYHZ87Wcf5GfYi3qF,7,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
3kyWvXNmUjurqTMEabPtPu,Earth Ripper,Absu,Abzu,2011,2011,,thrash metal,thrash metal; black metal; death metal,2011-10-11,227600,True,,https://open.spotify.com/track/3kyWvXNmUjurqTMEabPtPu,1esQITow8cGQZqn1XtNRrK,3eVkhnD2UKVjX5uiUsqfXP,1,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
1bwsm58CrY1xbTKqpau4NA,Cheap Vodka,Acid Bath,When the Kite String Pops,1994,1994,,sludge metal,sludge metal; alternative metal; southern metal; death metal; doom metal,1994,134826,False,,https://open.spotify.com/track/1bwsm58CrY1xbTKqpau4NA,7GFYpb7GvKZZcPTze1uAp8,3n5jeTRWZEbTPJWyHSYUqn,3,1,liked,,2024-08-12T21:09:44Z,2024-08-12T21:09:44Z,,,,
6yOkVxopmbQ7t0h0rZokjQ,Sunshine And Sorrow - Live At Roadburn 2011,Acid King,Live At Roadburn (Live At Roadburn 2011),2022,2022,,stoner metal,stoner metal; doom metal; traditional doom metal,2022-03-11,518184,False,,https://open.spotify.com/track/6yOkVxopmbQ7t0h0rZokjQ,2HzpRZ5Rshzpzlv6bHIyPd,0PK6ewFU4DbFB8Eqr58Sct,7,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
7c102DbSc2Cc6MOjL6XshD,Them!,Acid Mammoth,Under Acid Hoof,2020,2020,,heavy psych,heavy psych; psychedelic rock; stoner rock; retro rock; sludge,2020-01-24,278176,False,,https://open.spotify.com/track/7c102DbSc2Cc6MOjL6XshD,6rr4xcsYs7iqZzIx4iqKO0,6VM0lR9Yr3VeXe4ZYB5f7T,1,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
3XM2ormuVHvn3tQvTQoy3J,Circles - 7'' Edit,Adam F,Rave Classics,2022,2022,,drum and bass,drum and bass; hip hop; hip hop rnb and dance hall,2022-03-31,227533,False,,https://open.spotify.com/track/3XM2ormuVHvn3tQvTQoy3J,5RxPozvp4dooX36BFRIUMT,3m38ZSwkLdeBDUhdGnFPrn,14,1,liked,,2023-10-04T12:13:45Z,2023-10-04T12:13:45Z,,,,
33fNAtcL4IKU5kei0P4psq,Kings And Queens,Aerosmith,Draw The Line,1977,1977,,hard rock,hard rock; blues rock; classic rock; glam metal; arena rock,1977-12-01,295133,False,,https://open.spotify.com/track/33fNAtcL4IKU5kei0P4psq,792SNee67NvAFZbsip969c,7Ey4PD4MYsKc5I2dolUwbH,6,1,liked,,2024-11-26T10:09:42Z,2024-11-26T10:09:42Z,,,,
7mXieDbl55P3L8kPE33gcC,The Boy Who Destroyed The World,AFI,All Hallows EP,1999,1999,,alternative rock,alternative rock; punk rock; emo; hardcore; hardcore punk,1999-01-01,185360,False,,https://open.spotify.com/track/7mXieDbl55P3L8kPE33gcC,1g3XMX2gmUF6zAwll0jqN6,19I4tYiChJoxEO5EuviXpz,3,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
3dKyLNbYun1timBlPx3Wlp,Altid Veltilfreds,Afsky,Ofte jeg drømmer mig død,2020,2020,,atmospheric black metal,atmospheric black metal; black metal,2020-05-12,430146,False,,https://open.spotify.com/track/3dKyLNbYun1timBlPx3Wlp,0XPOYFjauNSOE5tVZQKt6S,1djxnRn6jJcQtVGJ4lTDvP,1,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
0RH7wNNLaYZOkU27qk2y1l,Stormfulde hav,Afsky,Om hundrede år,2023,2023,,atmospheric black metal,atmospheric black metal; black metal,2023-03-15,471136,False,,https://open.spotify.com/track/0RH7wNNLaYZOkU27qk2y1l,6lv6a2BFgb8MeCtGXbOxfg,1djxnRn6jJcQtVGJ4lTDvP,1,1,liked,,2024-06-24T08:07:39Z,2024-06-24T08:07:39Z,,,,
73vyulFUPAla99D1wUtMQo,Falling Snow,Agalloch,Ashes Against The Grain,2006,2006,,folk metal,folk metal; atmospheric black metal; doom metal; black metal; progressive metal,2006-08-15,578760,False,,https://open.spotify.com/track/73vyulFUPAla99D1wUtMQo,2PIBrpGRMIcmYtt4aiN4xv,3Meu28o8P5z9Zjm6NTGihT,2,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
0v48hYb9QO4llpNOPBwlO5,Our Fortress Is Burning... I,Agalloch,Ashes Against The Grain (Remastered),2016,2016,,folk metal,folk metal; atmospheric black metal; doom metal; black metal; progressive metal,2016-07-15,328544,False,,https://open.spotify.com/track/0v48hYb9QO4llpNOPBwlO5,3orD6D0SUsXPOTgftelFtK,3Meu28o8P5z9Zjm6NTGihT,6,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
72NIrP4zxsKlX5BiP5b8R4,Kneel to the Cross,Agalloch,"Of Stone, Wind, & Pillor",2001,2001,,folk metal,folk metal; atmospheric black metal; doom metal; black metal; progressive metal,2001-05-28,354773,False,,https://open.spotify.com/track/72NIrP4zxsKlX5BiP5b8R4,1u1fYbb8lZwtZhjAfZK6Er,3Meu28o8P5z9Zjm6NTGihT,4,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
3oyYeFEb1nZQyDxDjoXbVK,The Hangmans Daughter,Agents Of Oblivion,Agents of Oblivion,2000,2000,,stoner rock,stoner rock; doom metal; psychedelic rock,2000,275693,False,,https://open.spotify.com/track/3oyYeFEb1nZQyDxDjoXbVK,757dyx1L2S1EsFLUWHmGdw,1PxtrGRfxoHhK96BD0z7VP,6,1,liked,,2024-07-23T11:57:04Z,2024-07-23T11:57:04Z,,,,
4wySV7QWr2cn7sq4GbJ9C9,Frames,Aghora,Aghora,1999,1999,,progressive metal,progressive metal,1999,429200,False,,https://open.spotify.com/track/4wySV7QWr2cn7sq4GbJ9C9,0mZSVO2VJg38rBiDeYmYNR,4jL78Ta4OMlWppSPXM1Fnb,4,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
4eziQD8b3eD5jyQMyeiSye,Frames (Remastered),Aghora,Aghora (Remastered),2021,2021,,progressive metal,progressive metal,2021-01-28,427207,False,,https://open.spotify.com/track/4eziQD8b3eD5jyQMyeiSye,7yxImiRB3aQedrq5JfqHzS,4jL78Ta4OMlWppSPXM1Fnb,4,1,liked,,2023-08-05T07:11:21Z,2023-08-05T07:11:21Z,,,,
4D6ECWCfpQa7iwr9XluCiy,Satya,Aghora,Transitions,2006,2006,,progressive metal,progressive metal,2006-03-31,324906,False,,https://open.spotify.com/track/4D6ECWCfpQa7iwr9XluCiy,75eY2N8TgCA2CSFjTHYcyP,4jL78Ta4OMlWppSPXM1Fnb,1,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
1rDGZc45380it0b7NgRS4r,Old Thunder,Ahab,The Call Of The Wretched Seas,2006,2006,,funeral doom metal,funeral doom metal; doom metal; death metal; death doom metal; death-doom metal,2006-01-01,594934,False,,https://open.spotify.com/track/1rDGZc45380it0b7NgRS4r,4fdq2NPeWvfvOyl278TqTY,2N8XkSGgBeH1VrFHxbarbz,3,1,liked,,2024-01-23T05:47:53Z,2024-01-23T05:47:53Z,,,,
4y5oWMrC6j6OhNWucCjN5y,Killer,Airbag,Disconnected,2016,2016,,pop punk,pop punk; power pop; latin rock,2016-06-10,558160,False,,https://open.spotify.com/track/4y5oWMrC6j6OhNWucCjN5y,18DPz6Cx2TDln1Krlp6MSY,0gTqi1zdqD9s6islG2wLKC,1,1,liked,,2025-08-04T06:34:00Z,2025-08-04T06:34:00Z,,,,
0iAhml6aCMcbwNUXjQ23Yx,The Big One,Alan Tew,Drama Suite Part I,1976,1976,,production music,production music,1976-01-01,247138,False,,https://open.spotify.com/track/0iAhml6aCMcbwNUXjQ23Yx,4LdPCAzR5PG6Zd4LdzpCg0,1agA8bGlQIWvtOm96xbidO,13,1,liked,,2024-12-12T07:43:39Z,2024-12-12T07:43:39Z,,,,
0TOLxJTPhAkvqg9GfnjstG,Mineral,Albert Wenmo,Mineral,2022,2022,,swing,swing; vocal jazz; traditional pop; big band; christmas music,2022-06-03,87923,False,,https://open.spotify.com/track/0TOLxJTPhAkvqg9GfnjstG,0Yua0C6bonDdLCp0FV4fC4,3oRcts32YJGp3vx0U7ZyKf,1,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
300bSfVhnNrXHZEHKxQjPU,Kodama,Alcest,Kodama,2016,2016,,blackgaze,blackgaze; shoegaze,2016-09-30,547400,False,,https://open.spotify.com/track/300bSfVhnNrXHZEHKxQjPU,7cf5MM7qQ6V0Petqr4aeZ2,0d5ZwMtCer8dQdOPAgWhe7,1,1,liked,,2023-06-05T05:45:54Z,2023-06-05T05:45:54Z,,,,
01goDEgLNLAVOmRQ8Ip7js,Oiseaux de proie,Alcest,Kodama,2016,2016,,blackgaze,blackgaze; shoegaze,2016-09-30,468226,False,,https://open.spotify.com/track/01goDEgLNLAVOmRQ8Ip7js,7cf5MM7qQ6V0Petqr4aeZ2,0d5ZwMtCer8dQdOPAgWhe7,5,1,liked,,2025-04-03T08:32:19Z,2025-04-03T08:32:19Z,,,,
30JoA3CWCXqcACZzRtyaJr,L'Envol,Alcest,L'Envol,2024,2024,,blackgaze,blackgaze; shoegaze,2024-02-23,482240,False,,https://open.spotify.com/track/30JoA3CWCXqcACZzRtyaJr,0ha4JvwSl9kBT0vCUQn0GI,0d5ZwMtCer8dQdOPAgWhe7,1,1,liked,,2024-02-26T08:51:58Z,2024-02-26T08:51:58Z,,,,
7rBOcKaGUAh81D0Aosi4Ka,Protection - Acoustic Instrumental Version,Alcest,Protection (Acoustic Instrumental Version),2021,2021,,blackgaze,blackgaze; shoegaze,2021-01-29,410066,False,,https://open.spotify.com/track/7rBOcKaGUAh81D0Aosi4Ka,14UmlMLhjmNR9ZTcfMBGka,0d5ZwMtCer8dQdOPAgWhe7,1,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
5DFnmcshyxsonqTvanqZPY,Sapphire,Alcest,Spiritual Instinct,2019,2019,,blackgaze,blackgaze; shoegaze,2019-10-25,300503,False,,https://open.spotify.com/track/5DFnmcshyxsonqTvanqZPY,6o13o3tlmwPYFnlIrVoRhh,0d5ZwMtCer8dQdOPAgWhe7,3,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
2cAxqSzAijG4jm8YUlGX51,Percées de lumière,Alcest,Écailles de lune,2010,2010,,blackgaze,blackgaze; shoegaze,2010-03-26,398426,False,,https://open.spotify.com/track/2cAxqSzAijG4jm8YUlGX51,6b9NZDM5QhD2FViyXKwBRT,0d5ZwMtCer8dQdOPAgWhe7,3,1,liked,,2026-03-16T17:38:24Z,2026-03-16T17:38:24Z,,,,
63kgdcLvoX9EbKXV2SUOym,The Hunter (By the Seaside Window),Alex Henry Foster,The Hunter,2020,2020,,rock,rock,2020-03-13,873957,False,,https://open.spotify.com/track/63kgdcLvoX9EbKXV2SUOym,1caraPPpHvvTxvZKXLnEci,3xxV7Humr8VBXGhNNbyWoY,1,1,liked,,2023-06-05T13:23:04Z,2023-06-05T13:23:04Z,,,,
1nyZi7PEdQY1ATzrrJ0mSs,Would,Alice In Chains,"Facelift Live: The Palladium, Hollywood, CA 6 Oct '91 Remastered",1991,1991,,grunge,grunge; alternative rock; alternative metal; acoustic rock; heavy metal,1991,209228,False,,https://open.spotify.com/track/1nyZi7PEdQY1ATzrrJ0mSs,5S4uwjstcqxYWA6xwQhK4o,64tNsm6TnZe2zpcMVMOoHL,4,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
1cifWu0RekvMutajs8iJsh,Папоротник,Alkonost,Октаграмма,2018,2018,,folk metal,folk metal; doom metal,2018-10-21,308000,False,,https://open.spotify.com/track/1cifWu0RekvMutajs8iJsh,2aK8hH2nUcKm8bjWKDFD5Y,6uqnggb1uJbtZI4u3aLyBe,5,1,liked,,2023-11-17T10:47:17Z,2023-11-17T10:47:17Z,,,,
2b5lUSUuxYtg0Jioyk5okG,The Scent,Alkymist,The Scent,2024,2024,,ambient,ambient; doom metal; post-metal; progressive metal; stoner metal,2024-10-18,298093,False,,https://open.spotify.com/track/2b5lUSUuxYtg0Jioyk5okG,3ayxgVX97OCPgJw8IqMdQb,6H8YKAQ8UXrcsK4ORs1qOq,1,1,liked,,2024-10-28T06:55:17Z,2024-10-28T06:55:17Z,,,,
4LCVroEB1yhIruBNXspuXP,Silver To Rust,All Them Witches,Silver To Rust,2022,2022,,stoner rock,stoner rock; psychedelic rock; psychedelic; blues rock; stoner,2022-03-25,568231,False,,https://open.spotify.com/track/4LCVroEB1yhIruBNXspuXP,7ABjwHOYiqzKi5FyeN1YOj,29Wmfm1CojrjQ3aQP0FI65,1,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
1B4XcCAhhj6r2ji1dcISEU,La mente vola,Alphataurus,Alphataurus,1973,1973,,progressive rock,progressive rock; symphonic prog,1973,552720,False,,https://open.spotify.com/track/1B4XcCAhhj6r2ji1dcISEU,0Wh01o7ulww79Oq2eSZ6PX,6mFPT1M2JWpuoSGSCQCpHX,4,1,liked,,2023-07-19T11:08:14Z,2023-07-19T11:08:14Z,,,,
35W0UdnHhQUEWeU9UahAKH,Nothing Grows From Hallowed Ground,Altar Of Oblivion,Nothing Grows From Hallowed Ground,2024,2024,,doom metal,doom metal; epic doom metal,2024-04-12,365711,False,,https://open.spotify.com/track/35W0UdnHhQUEWeU9UahAKH,3kTVXpBqGBdZOqUngmiJ1o,3UFcowMC0upZB50t80h8Z5,1,1,liked,,2024-04-21T08:27:59Z,2024-04-21T08:27:59Z,,,,
1X35J405ohlWyqWyic8QJB,Moon,Altareth,Blood,2021,2021,,doom metal,doom metal; heavy metal; psychedelic rock; stoner rock; stoner metal,2021-11-05,439920,False,,https://open.spotify.com/track/1X35J405ohlWyqWyic8QJB,2UAj8p6MYYVEOzvOtFz9lW,1By0IG3t0sq6Pd4MbwBbVi,5,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
6hR6iOYzs5tf2rrhHL3liO,На Заре,Alyans,На заре (Part 1),1987,1987,,synthpop,synthpop; new wave; post-punk; folk rock,1987-10-16,345373,False,,https://open.spotify.com/track/6hR6iOYzs5tf2rrhHL3liO,5u7veXw21c24XP00XZZ6d1,0RhwVQewjVG0jHaXtDQaqA,5,1,liked; playlist,Русское поле экспериментов,2023-11-17T16:37:35Z,2024-07-24T18:06:10Z,,,,
2uXVhJUklK3sMNdmc6gKKG,Chain Reaction,Amebix,Monolith,1987,1987,,anarcho-punk,anarcho-punk; crust punk; post-punk; heavy metal,1987,327840,False,,https://open.spotify.com/track/2uXVhJUklK3sMNdmc6gKKG,6trWYarKJAfrI9fhuKvAun,6tUC9fQSG7uqbzUy9AJ1NY,7,1,liked,,2023-04-10T16:26:59Z,2023-04-10T16:26:59Z,,,,
